row_idx,section,fuel,vehicle,fact_qty,fact_amount,plan_qty,plan_amount,price,delta
6,,бензин А-92,УАЗ 98-62 АХ,,,110.4,,,
7,,бензин А-92,ГАЗ-5201 ПЛ610 135-12,,15.5,790.5,,,
8,,бензин А-92,PEUGEOT 33-19 ЕС,,22.0,1217.4,,,
9,,бензин А-92,ВАЗ 21063 16-32 СО,,15.0,653.55,,,
10,,бензин А-92,ЗІЛ-130 66-78 ВІ,,43.0,1295.05,,,
11,,бензин А-92,ГАЗ-52 66-79 ВЕ,,9.0,273.67,,,
12,,бензин А-92,ГАЗ-33023 66-80ВЕ,,8.0,249.93,,,
15,,бензин А-95,УАЗ 98-62 АХ,,,,,,
16,,бензин А-95,ГАЗ-5201 ПЛ610 135-12,,15.5,728.5,,,
17,,бензин А-95,PEUGEOT 33-19 ЕС,,339.0,16739.0,,,
18,,бензин А-95,ВАЗ 21063 16-32 СО,,,,,,
19,,бензин А-95,електрогенератор,,190.0,9500.0,,,
20,,бензин А-95,дизельне пальне,58030.98,2743.1,111453.23,2743.1,,0.0
21,,бензин А-95,FIAT DOBLO 0538 ЕН,,451.2,20655.52,,,
22,,бензин А-95,FIAT DOBLO 0537 ЕН,,996.3,43278.71,,,
23,,бензин А-95,ГАЗ-3309 89-42ВМ,,45.53,1318.73,,,
24,,бензин А-95,трактор Т-16,,134.7,3181.4,,,
25,,бензин А-95,екскаватор ЭО 2626,,358.0,11378.08,,,
26,,бензин А-95,екскаватор Борекс,,701.37,28560.79,,,
27,,бензин А-95,електрогенератор,,56.0,3080.0,,,
29,,газ скраплений,ВАЗ 21063 16-32 СО,,4.5,132.48,,,
31,,Аерозоль мастило,Антифриз,1062.85,28.25,871.77,28.25,,0.0
32,,Аерозоль мастило,Олива Леол лидер,,8.0,800.0,8.0,,0.0
33,,Аерозоль мастило,Олива Леол мге,,121.0,9679.56,121.0,,0.0
34,,Аерозоль мастило,Олива Леол турбодиз.,,75.0,7365.0,75.0,,0.0
35,,Аерозоль мастило,Тосол,1643.73,147.0,9894.26,147.0,,0.0
37,,Масло МРМ,Олива леол S2T,,2.0,140.7,2.0,,0.0
38,,Масло МРМ,Олива Леол М-10/40,,10.0,661.26,10.0,,0.0
40,,Масло 10W40,Рідина гальмівна,282.12,3.5,283.0,3.5,,0.0
41,,Масло 10W40,Олива ТАД-17,2832.01,5.0,326.0,5.0,,0.0
42,,Масло 10W40,смазка універсальна,667.8,6.0,946.0,6.0,,0.0
43,,Масло 10W40,Літол,880.09,5.5,800.0,5.5,,0.0
44,,Масло 10W40,WD 40,,0.4,223.0,0.4,,0.0
45,,Масло 10W40,Всього,127909.74,,183212.78,,,0.0
